text,source,rating,user_segment,author,created_at
Search doesn't find recipes I've literally saved.,zendesk,,power_user,Sam X.,2026-04-24T19:15:19.847039+00:00
Saved recipes on iPhone don't sync to my iPad. Made me cancel.,nps,1,free_tier,Yuki A.,2026-04-28T19:15:19.847039+00:00
Search is way too slow on Android — takes 5+ seconds.,nps,3,power_user,Riley L.,2026-02-12T02:15:19.847039+00:00
Loved the recipes but the signup flow asks for my address?? Why?,zendesk,,smb,Sam M.,2026-05-13T00:15:19.847039+00:00
App is beautiful and easy to use. 5 stars.,zendesk,,smb,Diego D.,2026-02-12T01:15:19.847039+00:00
Pro features should include grocery integration at this price.,app_store,3,free_tier,Chen U.,2026-02-08T06:15:19.847039+00:00
Tried to subscribe to Pro but the payment failed silently.,play_store,2,new_user,Riley J.,2026-05-15T19:15:19.847039+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,enterprise,Sam V.,2026-04-10T20:15:19.847039+00:00
Search is way too slow on Android — takes 5+ seconds.,play_store,2,enterprise,Diego H.,2026-03-27T14:15:19.847039+00:00
"Please add dark mode, my eyes hurt at night cooking.",play_store,3,smb,Maya C.,2026-02-11T16:15:19.847039+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,zendesk,,smb,Riley W.,2026-04-28T06:15:19.847039+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,free_tier,Maya Z.,2026-02-19T09:15:19.847039+00:00
Search is way too slow on Android — takes 5+ seconds.,nps,2,new_user,Alex D.,2026-03-21T11:15:19.847039+00:00
Card was charged but Pro features didn't unlock for 48 hours. Support never replied.,interview,,smb,Yuki Q.,2026-05-17T14:15:19.847039+00:00
Search is way too slow on Android — takes 5+ seconds.,app_store,2,enterprise,Chen D.,2026-02-27T09:15:19.847039+00:00
Loved the recipes but the signup flow asks for my address?? Why?,nps,3,free_tier,Sam W.,2026-03-22T21:15:19.847039+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,interview,,enterprise,Priya T.,2026-04-30T22:15:19.847039+00:00
$15/month for what is essentially a recipe app is too much.,interview,,new_user,Sam M.,2026-04-14T11:15:19.847039+00:00
Love how it adapts to my pantry. Real game changer.,play_store,5,new_user,Sam Z.,2026-04-25T08:15:19.847039+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Made me cancel.",play_store,1,free_tier,Priya J.,2026-03-02T11:15:19.847039+00:00
Search is way too slow on Android — takes 5+ seconds.,nps,,power_user,Maya N.,2026-01-27T09:15:19.847039+00:00
